Folio,Cliente ,NumeroParte,Nombre ,PROYECTO,LARGO,ANCHO,ALTO,ECT,CORRUGADO,CODIGO,documento
10316067,DENSO,TUBO 10D P/6,MANGA NORMAL,TUBO 10D P/6,114.7,110.6,18.7,42,Doble,ESP-DSO-067,https://drive.google.com/file/d/1p7oRDpyM4bBCSpCJ2PubmMfc6F6AqNNl/view?usp=share_link
10316068,DENSO,TUBO 10D P/12,MANGA NORMAL,TUBO 10D P/12,114.7,110.6,38.8,42,Doble,ESP-DSO-068,https://drive.google.com/file/d/1JnnccBqUKzJQbsfB1Dj8xxxfooyBI6tm/view?usp=share_link
10316069,DENSO,TUBO 10D P/18,MANGA NORMAL,TUBO 10D P/18,114.7,110.6,57.5,42,Doble,ESP-DSO-069,https://drive.google.com/file/d/1BuEq5l_th8Cetddj63zihvsu87b5TTwJ/view?usp=share_link
10316070,DENSO,TUBO 10D P/24,MANGA NORMAL,TUBO 10D P/24,114.7,110.6,76.4,42,Doble,ESP-DSO-070,https://drive.google.com/file/d/146aGHMa_egTk9c7z6ewsAQ-Nq-UXWH4i/view?usp=share_link
10316071,DENSO,TUBO 9H P/3,MANGA NORMAL,TUBO 9H P/3,114.7,110.6,28.6,42,Doble,ESP-DSO-071,https://drive.google.com/file/d/14hozaxQTjenRRFXX71QsMPpqfHpN9foe/view?usp=share_link
10316072,DENSO,TUBO 9H P/6,MANGA NORMAL,TUBO 9H P/6,114.7,110.6,57.2,42,Doble,ESP-DSO-072,https://drive.google.com/file/d/1hILNSQcC0DEyRa9axNmLUviBXuL0h9Ms/view?usp=share_link
10316073,DENSO,TUBO 9H P/9,MANGA NORMAL,TUBO 9H/9,114.7,110.6,85.7,42,Doble,ESP-DSO-073,https://drive.google.com/file/d/1EqfULDUnx0NYa-osSL5nOKD2vGJl7YII/view?usp=share_link
10316074,DENSO,TUNO 1A,MANGA NORMAL,TUBO 1A,115.3,99.1,76.8,42,Doble,ESP-DSO-074,https://drive.google.com/file/d/1YWM638u0BDxsJLPariXghiMquzk2ZES_/view?usp=share_link
10316075,DENSO,TUBO 8H,MANGA NORMAL,TUBO 8H,115.3,99.1,106.7,42,Doble,ESP-DSO-075,https://drive.google.com/file/d/1qbl0Fq--Nh7Wjzv0iY8z-CgAO0gjLgd6/view?usp=share_link
10316076,DENSO,TUBO NISSAN,MANGA NORMAL,TUBO NISSAN ,123.9,115,111.8,42,Doble,ESP-DSO-076,https://drive.google.com/file/d/1Xc9qG_63F0E1dtbAjJiM_7bNhGRWnat8/view?usp=share_link
10316077,DENSO,TUBO RK,MANGA NORMAL,TUBO RK,123.9,109.6,25.4,42,Doble,ESP-DSO-077,https://drive.google.com/file/d/1F-m1_zlGHvwJ1gNT1cPLo1z9Yo-fiRTQ/view?usp=share_link
10316078,DENSO,PKG-LS6D,CAJA CON FONDO,-,59.2,35.2,23.5,42,Doble,ESP-DSO-078,https://drive.google.com/open?id=185xB_h6wD5eXJav-IIDF300M3EJkl-W6&usp=drive_fs
10316079,DENSO,3-I,CAJA CON FONDO,-,112,38,49,42,Doble,ESP-DSO-079,https://drive.google.com/open?id=1qpByPEBASKRPF_kH9LjCdUKJWRnaOh32&usp=drive_fs
10316080,DENSO,Separador 17,SEPARADOR trq,-,18.5,18.5,17.5,32,Sencillo,ESP-DSO-080,FALTA FIRMA
10316081,DENSO,7-I,CAJA CON FONDO,-,112,39,19.5,42,Doble,ESP-DSO-081,https://drive.google.com/file/d/1-Vo4yBZxKiDkV0BGNl_UU6U72lQ-nVWs/view?usp=sharing
10316082,DENSO,7-I ,TAPA TELESCOPICA,-,,,,,,ESP-DSO-082,
10316083,DENSO,PKG-LS813,CAJA NORMAL,-,81.5,51.8,24,42,Doble,ESP-DSO-083,https://drive.google.com/open?id=10CiVlfhxbBvVo5Osgvsf9dFGwyvek2uK&usp=drive_fs
10316084,DENSO,PKG-LS889,CAJA NORMAL,-,90,51.8,27.7,42,Doble,ESP-DSO-084,https://drive.google.com/open?id=10L68vsTYKQFMWlOkqUldBZnyHsGLX6Ye&usp=drive_fs
10316085,DENSO,PKG-LS1220,CAJA NORMAL,-,121.4,50.3,30.5,42,Doble,ESP-DSO-085,https://drive.google.com/open?id=10LBXGUolLd_QwwAkvcHnJ5uXKLWHrKcr&usp=drive_fs
10316086,DENSO,LS5M,CAJA CON FONDO,LS5M,120.4,36.6,28.9,42,Doble,ESP-DSO-086,
10316087,DENSO,7342,DUNNAGE,7342,-,-,-,-,-,ESP-DSO-087,https://drive.google.com/open?id=12f32sExGXnubeX_5SeqOJEu6yfYWHuxj&usp=drive_fs
10316088,DENSO,,,-,,,,,,ESP-DSO-088,
10316089,DENSO,,,-,,,,,,ESP-DSO-089,
10316090,DENSO,5F,CAJA CON FONDO,5F,59,54,24,42,Doble,ESP-DSO-090,https://drive.google.com/file/d/1Ig3c2TnzZ88tcqlLmSqLoc0m5QUHVpJt/view?usp=sharing
10316091,DENSO,TAPA 5F,TAPA TELESCOPICA,5F,60,55,8,32,Sencillo,ESP-DSO-091,https://drive.google.com/file/d/1IqtDxXaMzRI_g5yfoheuWlpkEx_M-xB6/view?usp=sharing
10316092,DENSO,PKG-4580 ,TUBO,-,64.5,47.5,20,32,Sencillo,ESP-DSO-092,https://drive.google.com/open?id=1CmC8-zn2TVXgFA9O4qfBL7BfMm8WDpYe&usp=drive_fs
10316093,DENSO,DUNNAGE 1232,DUNNAGE,-,-,-,-,42,Doble,ESP-DSO-093,https://drive.google.com/open?id=188dcahQOGDyffAlYB1XcFNJhvlhz_5Qp&usp=drive_fs
10316094,DENSO,DUNNAGE 5453,DUNNAGE,-,-,-,-,42,Doble,ESP-DSO-094,https://drive.google.com/open?id=18GBGUavinIOw2_RufCHVriJ168-oWUxS&usp=drive_fs
10316095,DENSO,DUNNAGE 7213/7222,DUNNAGE,-,-,-,-,42,Doble,ESP-DSO-095,https://drive.google.com/open?id=1B2yxFF0qCXzrk53213axBmZpBg2C986a&usp=drive_fs
10316096,DENSO,DUNNAGE 0341,DUNNAGE,341,-,-,-,42,Doble,ESP-DSO-096,
70100001,DIRAAL,DIRAAL-1,CAJA NORMAL,34 X 16 X 40 cm,34.5,16.5,41,32,Sencillo,ESP-DIR-001,https://drive.google.com/file/d/1AqL-ad_1J2f4U35N3NZjauJJZQZ8o9GC/view?usp=share_link
10810001,DOTUMEX,12 GUN,CAJA NORMAL,GABINETE,53.5,40.5,137,42,Doble,ESP-DTM-001,https://drive.google.com/file/d/1OR3UC8lFOduZqUaULreK05CuupUcjPnW/view?usp=share_link
10810002,DOTUMEX,18 GUN,CAJA NORMAL,GABINETE,58.5,48.5,137,42,Doble,ESP-DTM-002,https://drive.google.com/file/d/1ylZR0OPD-gOkxgCyR9jRfTrzP223H6AJ/view?usp=share_link
10811003,DOTUMEX,LION,CAJA CON FONDO ,GABINETE,58.8,52.5,82.5,42,Doble,ESP-DTM-003,https://drive.google.com/file/d/12QNy2CwYt1iVhbnQhDiYtThZGjtPasGW/view?usp=share_link
1320001,DUOTEC,50X34X28,CAJA NORMAL,TROJAN,50.4,34.5,28,32,Sencillo,ESP-DUO-001,https://drive.google.com/open?id=1GRnrzlnyxT4j0rUBjxne728mFSu3P1b2&usp=drive_fs
1330002,DUOTEC,49X33X8,REJILLA,TROJAN,49.4,33,8.5,32,Sencillo,ESP-DUO-002,https://drive.google.com/open?id=1GX_3LGz4JVdu9WqoAj0SdfnHHMTTGBaA&usp=drive_fs
1331003,DUOTEC,49X33,SEPARADOR,TROJAN,49.4,33,-,32,Sencillo,ESP-DUO-003,https://drive.google.com/open?id=1GXcjwWod-GVamRzUqiAhgFJo8F2DZ2qV&usp=drive_fs
1330004,DUOTEC,60X40X29,CAJA NORMAL,MACROFAB/RUSSTECH,60.5,41,29.5,32,Sencillo,ESP-DUO-004,https://drive.google.com/file/d/1IUrYpv_aqhqGVbbwovSAM_f5lx28AshU/view?usp=drive_link
1330005,DUOTEC,60X40X6,REJILLA,MACROFAB/RUSSTECH,60,40,6.5,32,Sencillo,ESP-DUO-005,https://drive.google.com/file/d/1IXEQjqN4hPGiHt-WYexs3LRctV3sMlHK/view?usp=drive_link
1330006,DUOTEC,60X40,SEPARADOR,MACROFAB/RUSSTECH,60,40,-,32,Sencillo,ESP-DUO-006,https://drive.google.com/file/d/1Ief_YMYLzR0D3EikVcLfBwwlJP2zwh8_/view?usp=drive_link
1330007,DUOTEC,36X22X15,CAJA NORMAL,SENSOR,34.6,23,16,32,Sencillo,ESP-DUO-007,https://drive.google.com/open?id=163qMwUw6eqxPImSaKwwnwVmaPHerEkdC&usp=drive_fs
1330008,DUOTEC,33X21X4,REJILLA,SENSOR,33.6,21.5,4.5,32,Sencillo,ESP-DUO-008,https://drive.google.com/open?id=167ntMHK09ersNQk6oZQ1yIdkAKjLJiUB&usp=drive_fs
1330009,DUOTEC,33X22,SEPARADOR,SENSOR,33.6,21.5,-,32,Sencillo,ESP-DUO-009,https://drive.google.com/open?id=169fV0plvVjnxn6lW5wgV2mBWG2u1M4aj&usp=drive_fs
1330010,DUOTEC,56X49X35,CAJA NORMAL,SENSIRION,57,49.5,35.5,32,Sencillo,ESP-DUO-010,https://drive.google.com/open?id=16C9kfbEG6a5INKoAhFbQx9ai0-5DomNF&usp=drive_fs
1330011,DUOTEC,56X48X16,REJILLA,SENSIRION,56,48.5,16.5,32,Sencillo,ESP-DUO-011,https://drive.google.com/open?id=16CHNmKTDbattrkyyqz6zt1o0xCjll6mh&usp=drive_fs
1320012,DUOTEC,56X48,SEPARADOR,SENSIRION,56,48,-,32,Sencillo,ESP-DUO-012,https://drive.google.com/open?id=16IPqvgEhMqW-5xz7QAmH9SrbBnaDm5Tf&usp=drive_fs
1330013,DUOTEC,51X41X31,CAJA NORMAL,TORSIONAL,51.8,41.5,31.3,32,Sencillo,ESP-DUO-013,https://drive.google.com/open?id=16JDfygb7uS37KXnQaIsMIh3HDv0-32Wz&usp=drive_fs
1330014,DUOTEC,50X40X9,REJILLA,TORSIONAL,50.8,40,9.6,32,Sencillo,ESP-DUO-014,https://drive.google.com/open?id=16OOa7lxcI2vNKeNWp9bJmIWTJPwEDanI&usp=drive_fs
1330015,DUOTEC,50X40,SEPARADOR,TORSIONAL,50.8,40,-,32,Sencillo,ESP-DUO-015,https://drive.google.com/open?id=16QFPjw4OwUIcZ7vNfpBctrobOGjkU4R8&usp=drive_fs
1330016,DUOTEC,60X34X23,CAJA NORMAL,DOOR LEVELER,60.6,35.1,23.5,32,Sencillo,ESP-DUO-016,https://drive.google.com/open?id=16YHRZ2GsUhTidxvC2EEpMGZg6J487toc&usp=drive_fs
1330017,DUOTEC,59X33X7,REJILLA,DOOR LEVELER,59.6,33.6,7,32,Sencillo,ESP-DUO-017,https://drive.google.com/open?id=16bkTMwubsNRpfDO_I2enL-a42FOWEj4D&usp=drive_fs
1330018,DUOTEC,59.6X34.6,SEPARADOR,DOOR LEVELER,59.6,34.6,-,32,Sencillo,ESP-DUO-018,https://drive.google.com/open?id=16qFTnp31fy-xhUlM4H8rq9uCDo9jnNcS&usp=drive_fs
1330019,DUOTEC,59X34X7,REJILLA,DOOR LEVELER (KIT BRACKET),59.5,34.4,7,32,Sencillo,ESP-DUO-019,https://drive.google.com/open?id=1BO_T5D1X-RGmrd601zR9e-n1wa6T-r35&usp=drive_fs
1330020,DUOTEC,01590811-C,CAJA NORMAL,BCM - (TMM-FCM-VCM),60.5,57,20,32,Sencillo,ESP-DUO-020,
1330021,DUOTEC,01590811-R,REJILLA,BCM - (TMM-FCM-VCM),59.5,56.5,19,32,Sencillo,ESP-DUO-021,
1330022,DUOTEC,01590811-S,SEPARADOR,BCM - (TMM-FCM-VCM),59.5,56,-,32,Sencillo,ESP-DUO-022,
1330023,DUOTEC,01590812-C,CAJA NORMAL,CGW,60.5,37.5,30.5,32,Sencillo,ESP-DUO-023,
1330024,DUOTEC,01590812-E,REJILLA,CGW,59.5,36.5,14,32,Sencillo,ESP-DUO-024,
1330025,DUOTEC,01590812-S,SEPARADOR,CGW,59.5,36.5,-,32,Sencillo,ESP-DUO-025,
1330026,DUOTEC,1590269-C,CAJA NORMAL,VHC,60.5,57,60.5,32,Sencillo,ESP-DUO-026,
1330027,DUOTEC,1590269-R,REJILLA,VHC,59.5,56.4,33.5,32,Sencillo,ESP-DUO-027,
1330028,DUOTEC,1590269-S,SEPARADOR,VHC,59.5,55.5,-,32,Sencillo,ESP-DUO-028,
1001,DUOTEC,1330016,RENDER,DOOR LEVELER,60,34,23,32,Sencillo,ESP-DR-001,https://drive.google.com/open?id=1BPC4TOMW4rwRQNuv2MlLSRHMKY2PaO19&usp=drive_fs
3120001,DYMPACK,113X97X68,MANGA,-,113,97,68,74,TRIBLE,ESP-DYP-001,https://drive.google.com/file/d/1HKw_tys9SLKO-EpGAJGOzrUOYTSLugcg/view?usp=sharing
3120002,DYMPACK,114X98X10,TAPA TELESCOPICA,-,114.5,98.5,10,42,Doble,ESP-DYP-002,https://drive.google.com/file/d/1HTAleeYEE2SSmH0OlZbLHN36O0Ocy4W0/view?usp=drive_link
3120003,DYMPACK,112X96,SEPARADOR,-,112,96,-,26,Sencillo,ESP-DYP-003,https://drive.google.com/file/d/1HYg2CHSCFmNKJ5MAYGzrkLgncfWYI2x8/view?usp=drive_link
3120004,DYMPACK,60X27X20,CAJA NORMAL,-,61,28,21.7,42,Doble,ESP-DYP-004,https://drive.google.com/file/d/1HhiQmHIeaRrOSsgTUrGaz4yu7RFcNEfm/view?usp=drive_link
11610001,EMERSON,168528-017 (067),CAJA NORMAL,-,42,31.5,24.3,32,Sencillo,ESP-EMS-001,https://drive.google.com/file/d/1yqF1lzfhO25VkISTY0sWKhR8b1Z_ZjAF/view?usp=share_link
11610002,EMERSON,16528-035 (032),CAJA NORMAL,-,33.4,26.4,26.8,32,Sencillo,ESP-EMS-002,https://drive.google.com/file/d/1jDun7lprdidmDAY5rBT5wYgrD6bGA_BR/view?usp=share_link
11619003,EMERSON,168528-37 (032 F),SEPARADOR,-,33,25.9,0,32,Sencillo,ESP-EMS-003,https://drive.google.com/file/d/1bSdyT1DBGUjf7vQuumV6pKf13MWvGNtZ/view?usp=share_link
11610004,EMERSON,168528-005,CAJA NORMAL,-,20.4,20.4,16,32,Sencillo,ESP-EMS-004,https://drive.google.com/file/d/1JUV7eC1xPJQpsdFKbzOPLvDbRrx0GIxw/view?usp=share_link
11610005,EMERSON,16528-018 (218),CAJA NORMAL,-,25.2,22.8,22.4,32,Sencillo,ESP-EMS-005,https://drive.google.com/file/d/1i89so9d76CoxyG_35Pz8yBEdFJrWpNjr/view?usp=share_link
11610006,EMERSON,168528-032,CAJA NORMAL,-,33.4,26.4,26.8,44,Sencillo,ESP-EMS-006,https://drive.google.com/file/d/1nn0J19vL2WitgKFTZyIc-AjIz-OD9RA4/view?usp=share_link
11610007,EMERSON,169528-073,CAJA NORMAL,-,29,13.1,14.8,32,Sencillo,ESP-EMS-007,https://drive.google.com/file/d/13YsoAvDDgMh1RuWGegtCwHQynbXAK09V/view?usp=share_link
11610008,EMERSON,168528-074 (073),CAJA NORMAL,-,29,13.1,14.8,44,Sencillo,ESP-EMS-008,https://drive.google.com/file/d/1Veup_KAYQI4-sT2rxC_RgIigAvc4rMC-/view?usp=share_link
11610009,EMERSON,50.5 x 47 x 35,CAJA NORMAL,VALVULAS GRANDE 12 PZ,51.5,48,36.7,48,Doble,ESP-EMS-009,https://drive.google.com/file/d/1FpWiwL6m0qrMmlPIGpvkYggePCGrekX0/view?usp=sharing
11610010,EMERSON,REJILLA 12 VALVULAS,REJILLA,VALVULAS GRANDE 12 PZ,50,47,15.5,48,Doble,ESP-EMS-010,https://drive.google.com/file/d/1ArFJtIsO8HB5Kv3tFP4awpPtvIpyGN4J/view?usp=sharing
11610011,EMERSON,47 X 50.5,SEPARADOR,VALVULAS GRANDE 12 PZ,50.5,47,0,48,Doble,ESP-EMS-011,https://drive.google.com/file/d/1wBm2GDL-6lkpjWh8OKCTYO9KM-UqEBgl/view?usp=sharing
11610012,EMERSON,50.5 X 33 X 28,CAJA NORMAL,VALVULAS MEDIANA 18 PZ,51.5,34,29.7,48,Doble,ESP-EMS-012,https://drive.google.com/file/d/1MV2EC7xOBkMn3JOIiIroUmbee87LFu0T/view?usp=sharing
11610013,EMERSON,REJILLA 18 VALVULAS,REJILLA,VALVULAS MEDIANA 18 PZ,33,50.5,12.5,48,Doble,ESP-EMS-013,https://drive.google.com/file/d/1wS61CwXpUWexrVBAD-C2JskY5bUPwQzZ/view?usp=sharing
11610014,EMERSON,33 X 50.5,SEPARADOR,VALVULAS MEDIANA 18 PZ,33,50.5,,48,Doble,ESP-EMS-014,https://drive.google.com/file/d/11ZRRtG5RlJhhgu13rvCJffEl3qFVJe4y/view?usp=sharing
11610015,EMERSON,33 X 33 X 21,CAJA NORMAL,VALVULAS CHICA 18 PZ,34,34,22.7,48,Doble,ESP-EMS-015,https://drive.google.com/file/d/1f74l2umZ4-8I_woxWqzEmbBEFJZ-cWF6/view?usp=sharing
11610016,EMERSON,REJILLAS 12 VALVULAS,REJILLA,VALVULAS CHICA 18 PZ,33,33,9,48,Doble,ESP-EMS-016,https://drive.google.com/file/d/1CkRdIPzznaXUhNyBVvM9G1WNgcQV0Jur/view?usp=sharing
11610017,EMERSON,33 X 33,SEPARADOR,VALVULAS CHICA 18 PZ,33,33,0,48,Doble,ESP-EMS-017,https://drive.google.com/file/d/1Swt_zUJh5MNeRvURu2p0gtt1wvAxXob2/view?usp=sharing
11610018,EMERSON,168528-241,CAJA NORMAL,-,15.7,13.2,13.5,32,Sencillo,ESP-EMS-018,https://drive.google.com/file/d/10jRAIicNxJUpyelyALdCwRN-Z3uYJDC2/view?usp=share_link
